trip_id_unique,trip_duration_in_minutes
110004c,93.738304
110005c,120.59577
110006c,66.59573
110007c,139.2397
110008c,100.918785
110009c,57.502945
110014c,81.50592
110016c,96.340614
110085b,68.7922
110086b,43.15616
110087b,95.94156
110090b,110.334274
110093b,144.5101
110101b,66.132095
110102b,73.93276
110104b,96.08526
110105b,53.334507
110107b,126.54747
110109c,53.66806
110110c,162.38124
110113b,158.2676
110114b,83.41014
110116b,69.66411
110117b,27.80317
110117c,76.94476
110118b,46.432022
110128c,85.69361
110129c,42.177544
110131b,301.00784
110131c,-3.7265844
110132b,62.620995
110133c,53.438725
110134c,29.445345
110135c,76.220116
110136c,93.25694
110143b,91.30892
110144b,76.45036
110145b,64.86656
110152b,54.466694
110199b,50.485912
110200b,50.539257
110201b,314.24338
110202b,73.280426
110204b,46.8625
110205b,70.13105
110235c,80.04961
110236c,200.88843
110238c,66.950775
110251b,107.892235
110257b,91.12343
110258b,65.21894
110259b,314.22192
110260c,63.194485
110261c,105.644066
110262c,82.679405
110263c,75.00099
110269b,36.300747
110270b,76.44067
110299a,63.26357
110300b,46.480267
110304b,72.5241
110308b,98.93414
110345b,102.601585
110350c,363.21713
110351c,98.85034
110352c,91.22771
110353c,56.618042
110355c,52.61305
110357c,73.382706
110364b,212.29788
110365b,65.53492
110366b,134.12941
110367b,94.39644
110382b,592.87244
110387c,59.424023
110389c,63.015514
110390c,123.39885
110394b,71.3945
110396b,695.0221
110397b,305.53256
110398c,63.399918
110399c,67.543884
110402b,108.744736
110409b,70.97517
110410b,76.43586
110412b,69.4309
110416c,266.4299
110420c,85.304344
110421c,79.82052
110422b,60.852512
110423b,76.89616
110423c,54.118355
110424c,83.51839
110425c,63.92544
110426c,93.93412
110429b,58.219383
110430b,90.6462
110432c,235.75815
110433b,55.551228
110433c,217.22974
110435b,85.02566
110435c,12.061003
110436c,68.07687
110438c,114.78819
110440c,84.93422
110442c,83.21511
110445b,42.13394
110446b,74.54178
110449b,72.12165
110450b,117.83781
