trip_id,part,trip_id_unique_station,trip_id_unique,line_id,direction,alternative,cluster,station_index,station_id,station_name,arrival_time,door_closing_time,arrival_is_estimated,latitude,longitude,passengers_up,passengers_continue,mekadem_nipuach_luz,passengers_continue_menupach
220068,א,220068a31,220068a,40044,2,0,תל אביב,31,21827,ראול ולנברג/הברזל,19:37:37,,True,32.10703,34.83379,0,6,2.666666667,16.0
417280,א,417280a34,417280a,12161,1,0,מזרחי-בני ברק,34,27043,נחמיה/עזרא,23:29:00,23:29:00,False,32.07908,34.83709,2,13,3.0,39.0
314644,ג,314644c3,314644c,10138,1,0,אונו-אלעד,3,31143,רמז / הרצל,13:03:00,13:04:00,False,32.03763,34.8865,0,0,1.0,0.0
313701,ג,313701c33,313701c,23056,1,0,אונו-אלעד,33,31021,מבואות/המתנחלים,07:13:19,,True,32.04577,34.86855,0,13,1.0,13.0
111758,ב,111758b22,111758b,11501,1,#,שרון חולון מרחבי,22,20217,הרב קוק/וייצמן,08:56:13,,True,32.16262,34.83395,0,41,3.666666667,150.3333333
315932,א,315932a8,315932a,11289,2,0,"דרומי-ראשל""צ-חולון",8,33758,הנביאים/ירמיהו,15:58:00,15:58:00,False,32.01671,34.79521,2,5,2.333333333,11.66666667
311271,ג,311271c30,311271c,16040,2,0,בת ים-רמת גן,30,25387,דרך יפו/הרצל,12:45:00,12:45:00,False,32.06012,34.769135,3,17,2.285714286,38.85714286
313687,ג,313687c36,313687c,23056,2,0,אונו-אלעד,36,20152,כיכר רבין/אבן גבירול,12:51:00,12:51:00,False,32.07914,34.781406,1,6,3.0,18.0
310684,ג,310684c29,310684c,10140,1,0,דרומי-בת ים,29,21436,דרך בר לב/אונטרמן,14:36:36,,True,32.046062,34.804024,0,14,1.0,14.0
110365,ב,110365b30,110365b,16024,1,#,שרון חולון מרחבי,30,20301,"משה סנה/צה""ל",13:38:00,13:39:00,False,32.12135,34.82524,5,11,3.0,33.0
416816,א,416816a12,416816a,21008,1,0,מזרחי-בני ברק,12,26540,חשב סופר/הרב שך,19:21:51,,True,32.08932,34.83529,0,23,2.25,51.75
313829,א,313829a42,313829a,18019,2,0,"דרומי-ראשל""צ-חולון",42,37625,הרצל/ינובסקי,13:58:00,13:58:00,False,31.9584,34.80198,0,1,2.0,2.0
120982,א,120982a16,120982a,10621,2,#,שרון חולון מרחבי,16,27059,דרך ז'בוטינסקי/דב הוז,11:06:11,,True,32.09286,34.83694,0,6,0.333333333,2.0
220880,א,220880a1,220880a,11204,1,0,תל אביב,1,20277,מסוף רדינג/רציפים,18:15:00,18:16:00,False,32.09888,34.77975,2,2,2.733333333,5.466666667
311159,ב,311159b1,311159b,12172,1,0,"דרומי-ראשל""צ-חולון",1,20277,מסוף רדינג/רציפים,14:26:00,14:26:00,False,32.09876,34.77966,0,0,2.857142857,0.0
119387,א,119387a46,119387a,10610,2,#,שרון חולון מרחבי,46,39232,"שד. בן אב""י/שד. בנימין",20:04:00,20:04:00,False,32.31844,34.85536,0,7,1.0,7.0
310643,ב,310643b12,310643b,12271,2,#,חולון עירוני ומטרופוליני+תחרות חולון,12,36341,ההסתדרות/מוצקין,05:09:00,05:09:00,False,32.01197,34.79143,2,12,2.666666667,32.0
222401,א,222401a30,222401a,11204,2,0,תל אביב,30,22999,בן יהודה/שד' נורדאו,15:54:19,,True,32.09335,34.77502,0,0,3.181818182,0.0
320785,א,320785a24,320785a,53073,2,0,"דרומי-ראשל""צ-חולון",24,31461,שדרות קוגל/סוקולוב,09:44:00,09:44:00,False,32.02369,34.77457,0,11,11.0,121.0
115264,ג,115264c26,115264c,13166,1,0,"פ""ת-ת""א",26,21133,דרך השלום/דרך הטייסים,05:45:02,,True,32.06176,34.804855,0,6,2.0,12.0
221051,א,221051a6,221051a,11204,1,0,תל אביב,6,22996,בן יהודה/ארלוזורוב,09:58:00,09:59:00,False,32.08674,34.77294,1,9,2.5,22.5
119071,א,119071a26,119071a,13611,1,#,שרון חולון מרחבי,26,21472,קניון עזריאלי/דרך מנחם בגין,08:41:00,08:41:00,False,32.07491,34.79073,0,11,4.0,44.0
211842,ב,211842b13,211842b,39017,1,0,מזרחי-בני ברק,13,21452,קניון איילון/מבצע קדש,18:52:00,18:52:00,False,32.10125,34.82785,0,20,2.75,55.0
313139,ג,313139c21,313139c,23056,2,0,אונו-אלעד,21,35334,כביש 471/זבוטינסקי,15:12:00,15:12:00,False,32.067455,34.848717,4,17,2.75,46.75
313938,ג,313938c8,313938c,23076,2,0,אונו-אלעד,8,31129,ד. לוי אשכול / שטרן,10:42:49,,True,32.050423,34.86422,0,7,2.5,17.5
313796,ג,313796c12,313796c,34015,1,0,אונו-אלעד,12,31565,שלמה המלך/נחל גמלא,16:40:08,,True,32.053394,34.85612,0,0,2.5,0.0
317568,א,317568a39,317568a,15145,1,#,חולון עירוני ומטרופוליני+תחרות חולון,39,36303,המצודה/החבצלת,20:11:32,,True,32.03342,34.76607,0,1,0.333333333,0.333333333
218849,א,218849a8,218849a,22007,1,1,תל אביב,8,26780,מרכוס/עולי הגרדום,20:39:28,,True,32.11371,34.8359,0,3,3.333333333,10.0
221043,א,221043a34,221043a,19016,1,0,תל אביב,34,26055,"מעפילי אגוז/מח""ל",14:57:00,14:57:00,False,32.05083,34.81169,0,13,1.181818182,15.36363636
311767,ג,311767c3,311767c,22141,1,0,דרומי-בת ים,3,31333,דרך העצמאות/יעקב בר סימנטוב,18:52:14,,True,32.028145,34.884773,0,2,5.5,11.0
110134,ג,110134c3,110134c,10524,2,#,שרון חולון מרחבי,3,26248,דרך אבא הלל/דרך ז'בוטינסקי,08:20:16,,True,32.083874,34.803467,0,1,0.666666667,0.666666667
314476,א,314476a8,314476a,12171,1,#,חולון עירוני ומטרופוליני+תחרות חולון,8,21388,האוניברסיטה/חיים לבנון,12:41:00,12:41:00,False,32.11396,34.80129,0,13,2.6,33.8
312214,ג,312214c30,312214c,15042,1,0,בת ים-רמת גן,30,21584,העלייה/פלורנטין,07:06:00,07:06:00,False,32.055763,34.772526,1,10,2.0,20.0
